Название;Артикул ТД Елена;Цена ТД Елена;Артикул Натали;Цена Натали;Ссылка на артикул Натали;Артикул Гомани;Цена Гомани;Ссылка на артикул Гомани;Артикул ТД Валерия;Цена ТД Валерия;Ссылка на артикул ТД Валерия;Артикул Оддис;Цена Оддис;Ссылка на артикул Оддис;Артикул Модно;Цена Модно;Ссылка на артикул Модно;Артикул Инстанс;Цена Инстанс;Ссылка на артикул Инстанс
Брюки (ф/п);11927;870;013824;{'Опт': '720', 'Мелкий опт': '865', 'Розница': '1440'};https://natali37.ru//product/13824;;;;;;;;;;;;;;;
Брюки (начес);11606;780;;;;;;;;;;;;;;;;С-0007Ч;990;https://instanceshop.ru/novinki/muzhskie-chernye-futer-s-nachesom-s-0007ch/
Брюки (начес);11815;790;013876;{'Опт': '720', 'Мелкий опт': '865', 'Розница': '1440'};https://natali37.ru//product/13876;;;;;;;;;;;;;;;
Брюки 12024Па;12024;720;021084;{'Опт': '970', 'Мелкий опт': '1165', 'Розница': '1940'};https://natali37.ru//product/21084;;;;;;;;;;;;;;;
Брюки камуфл.;10131;420;;;;;;;1/13-1030к;520;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/bryuki_3/domashnie/bryuki_muzh_kamuflyazhnye_khlopok_v_assortimente/;;;;;;;;;
Комплект (футб+шорты) 12210Па;12210;570;024190;{'Опт': '790', 'Мелкий опт': '950', 'Розница': '1580'};https://natali37.ru//product/24190;;;;;;;;;;;;;;;
Пижама (х/б) 11725;11725;810;;;;;;;1/16-1082С;720;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/pizhamy_2/pizhama_muzhskaya_khlopok_siniy_seryy_1/;;;;;;;;;
Шорты 12109Па;12109;575;015652;{'Опт': '860', 'Мелкий опт': '1035', 'Розница': '1720'};https://natali37.ru//product/15652;;;;;;;;;;;;;;;
Шорты 12109Пв;12109;575;015652;{'Опт': '860', 'Мелкий опт': '1035', 'Розница': '1720'};https://natali37.ru//product/15652;;;;;;;;;;;;;;;
Шорты 12109Пб;12109;575;015652;{'Опт': '860', 'Мелкий опт': '1035', 'Розница': '1720'};https://natali37.ru//product/15652;;;;;;;;;;;;;;;
Шорты 12109Пг;12109;575;015652;{'Опт': '860', 'Мелкий опт': '1035', 'Розница': '1720'};https://natali37.ru//product/15652;;;;;;;;;;;;;;;
Шорты 11401А;11401;310;019021;{'Опт': '405', 'Мелкий опт': '490', 'Розница': '810'};https://natali37.ru//product/19021;;;;;;;;;;;;;;;
Шорты  11401;11401;310;019021;{'Опт': '405', 'Мелкий опт': '490', 'Розница': '810'};https://natali37.ru//product/19021;;;;;;;;;;;;;;;
Капри  10022;10022;290;;;;;;;1/13-1020к;490;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/shorty_3/bridzhi_2/bridzhi_muzh_kamuflyazh_gazeta_v_assortimente/;;;;;;;;;
Шорты  11514ВШ;11514;470;025363;{'Опт': '970', 'Мелкий опт': '1165', 'Розница': '1940'};https://natali37.ru//product/25363;;;;;;;;;;;;;;;
Толстовка (начес) 11624П;11624;875;014948;{'Опт': '930', 'Мелкий опт': '1120', 'Розница': '1860'};https://natali37.ru//product/14948;;;;;;;;;;;;;;;
Брюки камуфл.;10131;420;;;;;;;1/13-1030к;520;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/bryuki_3/domashnie/bryuki_muzh_kamuflyazhnye_khlopok_v_assortimente/;;;;;;;;;
Пижама (х/б) 11725;11725;810;;;;;;;1/16-1082С;720;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/pizhamy_2/pizhama_muzhskaya_khlopok_siniy_seryy_1/;;;;;;;;;
Халат велсофт 11716;11716;1290;;;;С152-1;['-'];https://gomani.ru/product/xalat-muzhskoj-maxrovyj-2/;;;;;;;;;;;;
Капри  10022;10022;290;;;;;;;1/13-1020к;490;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/shorty_3/bridzhi_2/bridzhi_muzh_kamuflyazh_gazeta_v_assortimente/;;;;;;;;;
Брюки (начес);11606;780;;;;;;;;;;;;;;;;С-0007Ч;990;https://instanceshop.ru/novinki/muzhskie-chernye-futer-s-nachesom-s-0007ch/
Брюки камуфл.;10131;420;;;;;;;1/13-1030к;520;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/bryuki_3/domashnie/bryuki_muzh_kamuflyazhnye_khlopok_v_assortimente/;;;;;;;;;
Пижама (х/б) 11725;11725;810;;;;;;;1/16-1082С;720;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/pizhamy_2/pizhama_muzhskaya_khlopok_siniy_seryy_1/;;;;;;;;;
Трико (интер) 11607И;11607;495;;;;;;;1/13-1110х;420;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/triko_1/khlopkovoe/triko_muzh_khlopok_so_shtripkami_v_assortimente/;;;;;;;;;
Трико начес (на штрипке) 11607А;11607;490;;;;;;;1/13-1110х;420;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/triko_1/khlopkovoe/triko_muzh_khlopok_so_shtripkami_v_assortimente/;;;;;;;;;
Трико х/б;11607;370;;;;;;;1/13-1110х;420;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/triko_1/khlopkovoe/triko_muzh_khlopok_so_shtripkami_v_assortimente/;;;;;;;;;
Капри  10022;10022;290;;;;;;;1/13-1020к;490;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/shorty_3/bridzhi_2/bridzhi_muzh_kamuflyazh_gazeta_v_assortimente/;;;;;;;;;
Футболка 12107а;12107;450;;;;;;;;;;5.176.1;['760', '840'];https://oddis.ru/produkciya/muzhchinam/verkhnyaya-odezhda/futbolka-id301;5.176.1;['760', '840'];https://oddis.ru/produkciya/muzhchinam/verkhnyaya-odezhda/futbolka-id301;;;
Брюки (начес);11606;780;;;;;;;;;;;;;;;;С-0007Ч;990;https://instanceshop.ru/novinki/muzhskie-chernye-futer-s-nachesom-s-0007ch/
